2025-06-21 19:11:43 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/health | IP: 127.0.0.1 | User-Agent: python-requests/2.31.0
2025-06-21 19:11:43 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/health | Status: 200 | Size: 22 bytes
2025-06-21 19:11:43 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/health | IP: 127.0.0.1 | User-Agent: python-requests/2.31.0
2025-06-21 19:11:43 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/health | Status: 200 | Size: 22 bytes
2025-06-21 19:11:43 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/ | IP: 127.0.0.1 | User-Agent: python-requests/2.31.0
2025-06-21 19:11:43 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/ | Status: 302 | Size: 215 bytes
2025-06-21 19:11:43 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/login?next=/? | IP: 127.0.0.1 | User-Agent: python-requests/2.31.0
2025-06-21 19:11:43 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/login?next=/? | Status: 200 | Size: 4283 bytes
2025-06-21 19:11:43 | INFO     | grc.api:111 | log_request_info() | Request: POST http://localhost:3000/login | IP: 127.0.0.1 | User-Agent: python-requests/2.31.0
2025-06-21 19:11:44 | INFO     | grc.api:117 | log_response_info() | Response: POST http://localhost:3000/login | Status: 302 | Size: 189 bytes
2025-06-21 19:11:44 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/ | IP: 127.0.0.1 | User-Agent: python-requests/2.31.0
2025-06-21 19:11:44 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/ | Status: 302 | Size: 215 bytes
2025-06-21 19:11:44 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/confirm-email | IP: 127.0.0.1 | User-Agent: python-requests/2.31.0
2025-06-21 19:11:44 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/confirm-email | Status: 200 | Size: 6003 bytes
2025-06-21 19:11:44 | INFO     | grc.api:111 | log_request_info() | Request: POST http://localhost:3000/login | IP: 127.0.0.1 | User-Agent: python-requests/2.31.0
2025-06-21 19:11:44 | INFO     | grc.api:117 | log_response_info() | Response: POST http://localhost:3000/login | Status: 302 | Size: 189 bytes
2025-06-21 19:11:44 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/ | IP: 127.0.0.1 | User-Agent: python-requests/2.31.0
2025-06-21 19:11:44 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/ | Status: 302 | Size: 215 bytes
2025-06-21 19:11:44 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/confirm-email | IP: 127.0.0.1 | User-Agent: python-requests/2.31.0
2025-06-21 19:11:44 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/confirm-email | Status: 200 | Size: 6003 bytes
2025-06-21 19:11:44 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/token?expiration=3600 | IP: 127.0.0.1 | User-Agent: python-requests/2.31.0
2025-06-21 19:11:44 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/token?expiration=3600 | Status: 302 | Size: 215 bytes
2025-06-21 19:11:44 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/confirm-email | IP: 127.0.0.1 | User-Agent: python-requests/2.31.0
2025-06-21 19:11:44 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/confirm-email | Status: 200 | Size: 6003 bytes
2025-06-21 19:11:54 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/token | IP: 127.0.0.1 | User-Agent: curl/7.54.0
2025-06-21 19:11:54 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/token | Status: 302 | Size: 239 bytes
2025-06-21 19:12:02 | INFO     | grc.api:111 | log_request_info() | Request: POST http://localhost:3000/login | IP: 127.0.0.1 | User-Agent: curl/7.54.0
2025-06-21 19:12:02 | INFO     | grc.api:117 | log_response_info() | Response: POST http://localhost:3000/login | Status: 302 | Size: 189 bytes
2025-06-21 19:12:06 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/token | IP: 127.0.0.1 | User-Agent: curl/7.54.0
2025-06-21 19:12:06 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/api/v1/token | Status: 302 | Size: 215 bytes
2025-06-21 19:12:15 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/login | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-21 19:12:15 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/login | Status: 200 | Size: 4275 bytes
2025-06-21 19:12:15 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/static/css/main.css | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-21 19:12:15 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/static/js/common.js | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-21 19:12:15 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/static/css/main.css | Status: 200 | Size: 212162 bytes
2025-06-21 19:12:15 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/static/js/common.js | Status: 200 | Size: 6853 bytes
2025-06-21 19:12:15 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/favicon.ico | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-21 19:12:15 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/favicon.ico | Status: 404 | Size: 2570 bytes
2025-06-21 19:12:31 | INFO     | grc.api:111 | log_request_info() | Request: POST http://localhost:3000/login | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-21 19:12:32 | INFO     | grc.api:117 | log_response_info() | Response: POST http://localhost:3000/login | Status: 302 | Size: 189 bytes
2025-06-21 19:12:32 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-21 19:12:32 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/ | Status: 302 | Size: 215 bytes
2025-06-21 19:12:32 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/confirm-email | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-21 19:12:32 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/confirm-email | Status: 200 | Size: 6003 bytes
2025-06-21 19:12:32 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/static/js/common.js | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-21 19:12:32 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/static/css/main.css | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-21 19:12:32 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/static/js/common.js | Status: 304 | Size: 6853 bytes
2025-06-21 19:12:32 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/static/css/main.css | Status: 304 | Size: 212162 bytes
2025-06-21 19:12:37 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/logout | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-21 19:12:37 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/logout | Status: 302 | Size: 199 bytes
2025-06-21 19:12:37 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/login | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-21 19:12:37 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/login | Status: 200 | Size: 4331 bytes
2025-06-21 19:12:37 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/static/css/main.css | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-21 19:12:37 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/static/js/common.js | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
2025-06-21 19:12:37 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/static/css/main.css | Status: 304 | Size: 212162 bytes
2025-06-21 19:12:37 | INFO     | grc.api:117 | log_response_info() | Response: GET http://localhost:3000/static/js/common.js | Status: 304 | Size: 6853 bytes
2025-06-21 19:12:50 | INFO     | grc.api:111 | log_request_info() | Request: POST http://localhost:3000/login | IP: 127.0.0.1 | User-Agent: curl/7.54.0
2025-06-21 19:12:50 | INFO     | grc.api:117 | log_response_info() | Response: POST http://localhost:3000/login | Status: 302 | Size: 189 bytes
2025-06-21 19:12:50 | INFO     | grc.api:111 | log_request_info() | Request: GET http://localhost:3000/api/v1/token | IP: 127.0.0.1 | User-Agent: curl/7.54.0
